id,establecimiento,tipo,calle,altura,piso_dpto,cruce,barrio_localidad,ciudad,partido_comuna,provincia_region,pais,aprobado,observacion,formattedaddress,latitude,longitude,habilitado,confidence,condones,prueba,mac,ile,dc,ssr,es_rapido,tel_distrib,mail_distrib,horario_distrib,responsable_distrib,web_distrib,ubicacion_distrib,comentarios_distrib,tel_testeo,mail_testeo,horario_testeo,responsable_testeo,web_testeo,ubicacion_testeo,observaciones_testeo,tel_mac,mail_mac,horario_mac,responsable_mac,web_mac,ubicacion_mac,comentarios_mac,tel_ile,mail_ile,horario_ile,responsable_ile,web_ile,ubicacion_ile,comentarios_ile,tel_dc,mail_dc,horario_dc,responsable_dc,web_dc,ubicacion_dc,comentarios_dc,tel_ssr,mail_ssr,horario_ssr,responsable_ssr,web_ssr,ubicacion_ssr,comentarios_ssr,servicetype_condones,servicetype_prueba,servicetype_mac,servicetype_ile,servicetype_dc,servicetype_ssr,friendly_condones,friendly_prueba,friendly_mac,friendly_ile,friendly_dc,friendly_ssr
1,"APPA - St. John's","Member Association IPPF/WHR","Lower Bishopgate Street",,,,"Saint John","Saint John","Saint John","Saint John","Antigua and Barbuda",1,,,17.123834,-61.841068,1,,SI,SI,SI,NO,SI,SI,SI,"1 268 462 0947",appa@apuainet.ag,,,https://www.facebook.com/AntiguaPlannedParenthood/,,,"1 268 462 0947",appa@apuainet.ag,,,https://www.facebook.com/AntiguaPlannedParenthood/,,"Testing for HIV and other STI","1 268 462 0947",appa@apuainet.ag,,,https://www.facebook.com/AntiguaPlannedParenthood/,,,,,,,,,,"1 268 462 0947",appa@apuainet.ag,,,https://www.facebook.com/AntiguaPlannedParenthood/,,"Breast cancer and cervical cancer screening ","1 268 462 0947",appa@apuainet.ag,,,https://www.facebook.com/AntiguaPlannedParenthood/,,,,,,,,,SI,SI,SI,SI,SI,SI
2,FUSA,"Asociación Miembro IPPF/WHR",Lezica,3902,,,Almagro,Almagro,"Ciudad Autónoma de Buenos Aires","Ciudad Autónoma de Buenos Aires",Argentina,1,,,-34.610866,-58.421288,1,,SI,NO,SI,SI,SI,SI,NO,"54 11 4981 4241",info@grupofusa.org,,,http://grupofusa.org/,,,,,,,,,,"54 11 4981 4241",info@grupofusa.org,,,http://grupofusa.org/,,,"54 11 4981 4241",info@grupofusa.org,,,http://grupofusa.org/,,,"54 11 4981 4241",info@grupofusa.org,,,http://grupofusa.org/,,"Detección de cáncer de cuello uterino","54 11 4981 4241",info@grupofusa.org,,,http://grupofusa.org/,,,Gratis,,,,,,SI,SI,SI,SI,SI,SI
3,"Fundación Huésped","Socio colaborador",Peluffo,3932,,,Almagro,Almagro,"Ciudad Autónoma de Buenos Aires","Ciudad Autónoma de Buenos Aires",Argentina,1,,,-34.6104463,-58.4218081,1,,SI,SI,NO,NO,NO,NO,SI,"0800 222 4837",info@huesped.org.ar,"Lunes a Viernes 10 a 18 hs.",,https://www.huesped.org.ar/,,,"0800 222 4837",info@huesped.org.ar,"Lunes a Jueves 14 a 17.30 hs.",,https://www.huesped.org.ar/,,"Realización de pruebas de VIH",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gratis,Gratis,,,,,SI,SI,SI,SI,SI,SI
226,"Test new form",Type,Street,123,3,Crossing,,Almagro,"Ciudad Autónoma de Buenos Aires","Ciudad Autónoma de Buenos Aires",Argentina,1,,,,,,,NO,NO,NO,NO,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,NO,NO,NO,NO
227,"Test new form","Public health center",Suipacha,500,,,,Almagro,"Ciudad Autónoma de Buenos Aires","Ciudad Autónoma de Buenos Aires",Argentina,1,,,,,,,NO,NO,NO,NO,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,NO,NO,NO,NO
228,awe,"Hospital público",34,342,asd,asd,asd,Almagro,"Ciudad Autónoma de Buenos Aires","Ciudad Autónoma de Buenos Aires",Argentina,-1,asdsad,,,,,,NO,NO,NO,NO,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,NO,NO,NO,NO
242,"Lugar nombre","Social organization","Suipacha 900",,,,"Ramos Mejía","Ramos Mejía","La Matanza Partido","Buenos Aires Province",Argentina,0,,,,,,,NO,SI,NO,NO,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,NO,NO,NO,NO
243,"Establecimiento nuevo","Centro de salud público",Suipacha,400,,,"Ramos Mejía","Ramos Mejía","La Matanza","Buenos Aires",Argentina,0,"No, nada.",,,,,,SI,SI,NO,SI,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,NO,NO,NO,NO
244,Lokopepe,"Public health center",Pepe,900,3D,Loco,"Buenos Aires","Buenos Aires",,"Buenos Aires",Argentina,0,,,,,,,SI,NO,NO,NO,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,NO,NO,NO,NO
248,Lugar,"Public hospital",Calle,123,,,"Buenos Aires","Buenos Aires",,"Buenos Aires",Argentina,0,,,,,,,SI,NO,NO,NO,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,NO,NO,NO,NO
